┌─────────────┬────────────────────┬────────────────────┬────────────────────┐
│ fare_amount │   avg_fare_zone    │  avg_fare_borough  │  avg_fare_overall  │
│   double    │       double       │       double       │       double       │
├─────────────┼────────────────────┼────────────────────┼────────────────────┤
│       175.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        79.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        85.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        10.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        40.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        75.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        95.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        85.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│         2.5 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        96.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        67.8 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        25.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│         2.5 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        75.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        90.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│         2.5 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        26.8 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│         0.9 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        92.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│        54.0 │  78.13220705790597 │  78.13220705790597 │ 13.141501256205546 │
│          ·  │          ·         │          ·         │          ·         │
│          ·  │          ·         │          ·         │          ·         │
│          ·  │          ·         │          ·         │          ·         │
│         4.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│         7.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│         4.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        14.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        27.0 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│         5.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        28.0 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│         6.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        36.2 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        16.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        20.0 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│         2.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        -2.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        36.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        33.0 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        11.5 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        13.0 │ 24.256172931045683 │ 24.343840609147318 │ 13.141501256205546 │
│        11.5 │  15.92361566858082 │ 24.343840609147318 │ 13.141501256205546 │
│         9.0 │  15.92361566858082 │ 24.343840609147318 │ 13.141501256205546 │
│         8.0 │ 20.491179196704582 │ 24.343840609147318 │ 13.141501256205546 │
├─────────────┴────────────────────┴────────────────────┴────────────────────┤
│ 55553400 rows (40 shown)                                         4 columns │
└────────────────────────────────────────────────────────────────────────────┘
